2025-05-19 01:28:36,945 | INFO | eliaselpuci | 127.0.0.1 | GET /redirect/ | Acceso de usuario
2025-05-19 03:19:41,588 | SECURITY | INFO | anonymous | 0.0.0.0 | request | GET /dashboard/admin/ | Context: {'method': 'GET', 'path': '/dashboard/admin/', 'status': 200, 'response_time': 0.0229494571685791, 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0', 'params': {}, 'data': {}}
2025-05-19 03:19:41,588 | SECURITY | INFO | anonymous | 0.0.0.0 | admin_access | Sensitive endpoint accessed: admin_access | Context: {'method': 'GET', 'status': 200, 'user': 'admin', 'ip': '127.0.0.1'}
2025-05-19 03:19:41,588 | SECURITY | INFO | admin | 127.0.0.1 | GET /dashboard/admin/ | Acceso de usuario | Context: 
2025-05-19 03:20:12,377 | SECURITY | INFO | anonymous | 0.0.0.0 | request | GET /logout/ | Context: {'method': 'GET', 'path': '/logout/', 'status': 302, 'response_time': 0.006444454193115234, 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0', 'params': {}, 'data': {}}
2025-05-19 03:20:12,390 | SECURITY | INFO | anonymous | 0.0.0.0 | request | GET / | Context: {'method': 'GET', 'path': '/', 'status': 200, 'response_time': 0.0011026859283447266, 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0', 'params': {}, 'data': {}}
2025-05-19 03:20:26,931 | SECURITY | WARNING | anonymous | 0.0.0.0 | request | POST / | Context: {'method': 'POST', 'path': '/', 'status': 401, 'response_time': 0.42381834983825684, 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0', 'params': {}, 'data': {'csrfmiddlewaretoken': '*****', 'username': ['eliaselpuci'], 'password': '*****'}}
2025-05-19 03:20:33,104 | SECURITY | INFO | anonymous | 0.0.0.0 | request | POST / | Context: {'method': 'POST', 'path': '/', 'status': 200, 'response_time': 0.45668768882751465, 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0', 'params': {}, 'data': {'csrfmiddlewaretoken': '*****', 'username': ['eliaselpuci'], 'password': '*****'}}
2025-05-19 03:20:33,106 | SECURITY | INFO | eliaselpuci | 127.0.0.1 | POST / | Acceso de usuario | Context: 
2025-05-19 03:20:34,646 | SECURITY | INFO | anonymous | 0.0.0.0 | request | GET / | Context: {'method': 'GET', 'path': '/', 'status': 302, 'response_time': 0.0009968280792236328, 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0', 'params': {}, 'data': {}}
2025-05-19 03:20:34,647 | SECURITY | INFO | eliaselpuci | 127.0.0.1 | GET / | Acceso de usuario | Context: 
2025-05-19 03:20:34,683 | SECURITY | INFO | anonymous | 0.0.0.0 | request | GET /dashboard/entidad/ | Context: {'method': 'GET', 'path': '/dashboard/entidad/', 'status': 200, 'response_time': 0.014130830764770508, 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0', 'params': {}, 'data': {}}
2025-05-19 03:20:34,683 | SECURITY | INFO | eliaselpuci | 127.0.0.1 | GET /dashboard/entidad/ | Acceso de usuario | Context: 
2025-05-19 03:20:43,772 | SECURITY | INFO | anonymous | 0.0.0.0 | request | GET /logout/ | Context: {'method': 'GET', 'path': '/logout/', 'status': 302, 'response_time': 0.011039495468139648, 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0', 'params': {}, 'data': {}}
2025-05-19 03:20:43,783 | SECURITY | INFO | anonymous | 0.0.0.0 | request | GET / | Context: {'method': 'GET', 'path': '/', 'status': 200, 'response_time': 0.0010113716125488281, 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0', 'params': {}, 'data': {}}
2025-05-19 03:20:56,047 | SECURITY | INFO | anonymous | 0.0.0.0 | request | POST / | Context: {'method': 'POST', 'path': '/', 'status': 200, 'response_time': 0.5574839115142822, 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0', 'params': {}, 'data': {'csrfmiddlewaretoken': '*****', 'username': ['admin'], 'password': '*****'}}
2025-05-19 03:20:56,054 | SECURITY | INFO | admin | 127.0.0.1 | POST / | Acceso de usuario | Context: 
2025-05-19 03:20:57,605 | SECURITY | INFO | anonymous | 0.0.0.0 | request | GET / | Context: {'method': 'GET', 'path': '/', 'status': 302, 'response_time': 0.0020127296447753906, 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0', 'params': {}, 'data': {}}
2025-05-19 03:20:57,605 | SECURITY | INFO | admin | 127.0.0.1 | GET / | Acceso de usuario | Context: 
2025-05-19 03:20:57,617 | SECURITY | WARNING | anonymous | 0.0.0.0 | admin_access | Suspicious activity detected: admin_access | Context: {'path': '/dashboard/admin/', 'ip': '127.0.0.1', 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0'}
2025-05-19 03:20:57,640 | SECURITY | INFO | anonymous | 0.0.0.0 | request | GET /dashboard/admin/ | Context: {'method': 'GET', 'path': '/dashboard/admin/', 'status': 200, 'response_time': 0.02317357063293457, 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0', 'params': {}, 'data': {}}
2025-05-19 03:20:57,640 | SECURITY | INFO | anonymous | 0.0.0.0 | admin_access | Sensitive endpoint accessed: admin_access | Context: {'method': 'GET', 'status': 200, 'user': 'admin', 'ip': '127.0.0.1'}
2025-05-19 03:20:57,640 | SECURITY | INFO | admin | 127.0.0.1 | GET /dashboard/admin/ | Acceso de usuario | Context: 
2025-05-19 03:21:32,140 | SECURITY | INFO | admin | 127.0.0.1 | POST / | Acceso de usuario | Context: 
2025-05-19 03:21:33,695 | SECURITY | INFO | admin | 127.0.0.1 | GET / | Acceso de usuario | Context: 
2025-05-19 03:21:33,735 | SECURITY | INFO | admin | 127.0.0.1 | GET /dashboard/admin/ | Acceso de usuario | Context: 
2025-05-19 03:44:50,020 | SECURITY | INFO | admin | 127.0.0.1 | GET /dashboard/admin/ | Acceso de usuario | Context: 
2025-05-19 03:58:35,342 | SECURITY | INFO | admin | 127.0.0.1 | GET /dashboard/admin/ | Acceso de usuario | Context: 
2025-05-19 04:00:13,723 | SECURITY | INFO | eliaselpuci | 127.0.0.1 | POST / | Acceso de usuario | Context: 
2025-05-19 04:00:18,512 | SECURITY | WARNING | anonymous | 0.0.0.0 |  | Forbidden (CSRF token from POST incorrect.): / | Context: 
2025-05-19 04:00:41,383 | SECURITY | WARNING | anonymous | 0.0.0.0 |  | Forbidden (CSRF token from POST incorrect.): / | Context: 
2025-05-19 04:01:34,800 | SECURITY | WARNING | anonymous | 0.0.0.0 |  | Forbidden (CSRF token from POST incorrect.): / | Context: 
2025-05-19 04:01:34,824 | SECURITY | WARNING | anonymous | 0.0.0.0 | request | POST / | Context: {'method': 'POST', 'path': '/', 'status': 403, 'response_time': 0.0569005012512207, 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0', 'params': {}, 'data': {'csrfmiddlewaretoken': '*****', 'username': ['eliaselpuci'], 'password': '*****'}}
2025-05-19 04:01:44,794 | SECURITY | INFO | anonymous | 0.0.0.0 | request | GET / | Context: {'method': 'GET', 'path': '/', 'status': 200, 'response_time': 0.005002260208129883, 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0', 'params': {}, 'data': {}}
2025-05-19 04:01:53,984 | SECURITY | ERROR | anonymous | 0.0.0.0 | request | POST / | Context: {'method': 'POST', 'path': '/', 'status': 500, 'response_time': 0.4500713348388672, 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0', 'params': {}, 'data': {'csrfmiddlewaretoken': '*****', 'username': ['admin'], 'password': '*****'}}
2025-05-19 04:01:53,995 | SECURITY | INFO | admin | 127.0.0.1 | POST / | Acceso de usuario | Context: 
2025-05-19 04:02:50,347 | SECURITY | INFO | anonymous | 0.0.0.0 | request | GET / | Context: {'method': 'GET', 'path': '/', 'status': 200, 'response_time': 0.003244161605834961, 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0', 'params': {}, 'data': {}}
2025-05-19 04:02:56,447 | SECURITY | ERROR | anonymous | 0.0.0.0 | request | POST / | Context: {'method': 'POST', 'path': '/', 'status': 500, 'response_time': 0.47954583168029785, 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0', 'params': {}, 'data': {'csrfmiddlewaretoken': '*****', 'username': ['admin'], 'password': '*****'}}
2025-05-19 04:02:56,448 | SECURITY | INFO | admin | 127.0.0.1 | POST / | Acceso de usuario | Context: 
2025-05-19 04:03:09,837 | SECURITY | WARNING | anonymous | 0.0.0.0 |  | Forbidden (CSRF token from POST incorrect.): / | Context: 
2025-05-19 04:03:09,853 | SECURITY | WARNING | anonymous | 0.0.0.0 | request | POST / | Context: {'method': 'POST', 'path': '/', 'status': 403, 'response_time': 0.031134366989135742, 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0', 'params': {}, 'data': {'csrfmiddlewaretoken': '*****', 'username': ['admin'], 'password': '*****'}}
2025-05-19 04:03:28,067 | SECURITY | WARNING | anonymous | 0.0.0.0 |  | Forbidden (CSRF token from POST incorrect.): / | Context: 
2025-05-19 04:03:28,073 | SECURITY | WARNING | anonymous | 0.0.0.0 | request | POST / | Context: {'method': 'POST', 'path': '/', 'status': 403, 'response_time': 0.008413076400756836, 'user_agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Safari/537.36 Edg/136.0.0.0', 'params': {}, 'data': {'csrfmiddlewaretoken': '*****', 'username': ['admin'], 'password': '*****'}}
2025-05-19 04:04:16,703 | SECURITY | WARNING | anonymous | 0.0.0.0 |  | Forbidden (CSRF token from POST incorrect.): / | Context: 
